# Lagarith range-coder reciprocal-multiply LUT (extraction artefact)
#
# Source binary (x86-64): reference/binaries/system32/lagarith.dll
#   SHA-256: f90f371146ee0b762e4d0c95b336cad2dcff8802953e8667ed0b16389b1dd89c
#   RVA:        0x0001b9a0
#   File offset: 0x0001ada0
# Source binary (i386):  reference/binaries/syswow64/lagarith.dll
#   SHA-256: bac1ea74a9763008f44d3d0f2951ba9a44853e0d72164521a74dc7dd1df20bcc
#   RVA:        0x0002e870
#   File offset: 0x0002d270
# Cross-arch byte-equivalence: IDENTICAL
#
# Total entries: 2048 (each entry is one little-endian uint32)
# Total bytes:   8192
# Tool: extract-luts.sh (this script) + python3 struct.unpack('<2048I', ...)
#
# Columns: index, value_hex, value_dec
# value is the 32-bit little-endian word at file offset (T0_OFF + index*4).
index,value_hex,value_dec
0,0x00000000,0
1,0xffffffff,4294967295
2,0x80000000,2147483648
3,0x55555555,1431655765
4,0x40000000,1073741824
5,0x33333333,858993459
6,0x2aaaaaaa,715827882
7,0x24924924,613566756
8,0x20000000,536870912
9,0x1c71c71c,477218588
10,0x19999999,429496729
11,0x1745d174,390451572
12,0x15555555,357913941
13,0x13b13b13,330382099
14,0x12492492,306783378
15,0x11111111,286331153
16,0x10000000,268435456
17,0x0f0f0f0f,252645135
18,0x0e38e38e,238609294
19,0x0d79435e,226050910
20,0x0ccccccc,214748364
21,0x0c30c30c,204522252
22,0x0ba2e8ba,195225786
23,0x0b21642c,186737708
24,0x0aaaaaaa,178956970
25,0x0a3d70a3,171798691
26,0x09d89d89,165191049
27,0x097b425e,159072862
28,0x09249249,153391689
29,0x08d3dcb0,148102320
30,0x08888888,143165576
31,0x08421084,138547332
32,0x08000000,134217728
33,0x07c1f07c,130150524
34,0x07878787,126322567
35,0x07507507,122713351
36,0x071c71c7,119304647
37,0x06eb3e45,116080197
38,0x06bca1af,113025455
39,0x06906906,110127366
40,0x06666666,107374182
41,0x063e7063,104755299
42,0x06186186,102261126
43,0x05f417d0,99882960
44,0x05d1745d,97612893
45,0x05b05b05,95443717
46,0x0590b216,93368854
47,0x0572620a,91382282
48,0x05555555,89478485
49,0x05397829,87652393
50,0x051eb851,85899345
51,0x05050505,84215045
52,0x04ec4ec4,82595524
53,0x04d4873e,81037118
54,0x04bda12f,79536431
55,0x04a7904a,78090314
56,0x04924924,76695844
57,0x047dc11f,75350303
58,0x0469ee58,74051160
59,0x0456c797,72796055
60,0x04444444,71582788
61,0x04325c53,70409299
62,0x04210842,69273666
63,0x04104104,68174084
64,0x04000000,67108864
65,0x03f03f03,66076419
66,0x03e0f83e,65075262
67,0x03d22635,64103989
68,0x03c3c3c3,63161283
69,0x03b5cc0e,62245902
70,0x03a83a83,61356675
71,0x039b0ad1,60492497
72,0x038e38e3,59652323
73,0x0381c0e0,58835168
74,0x03759f22,58040098
75,0x0369d036,57266230
76,0x035e50d7,56512727
77,0x03531dec,55778796
78,0x03483483,55063683
79,0x033d91d2,54366674
80,0x03333333,53687091
81,0x0329161f,53024287
82,0x031f3831,52377649
83,0x03159721,51746593
84,0x030c30c3,51130563
85,0x03030303,50529027
86,0x02fa0be8,49941480
87,0x02f14990,49367440
88,0x02e8ba2e,48806446
89,0x02e05c0b,48258059
90,0x02d82d82,47721858
91,0x02d02d02,47197442
92,0x02c8590b,46684427
93,0x02c0b02c,46182444
94,0x02b93105,45691141
95,0x02b1da46,45210182
96,0x02aaaaaa,44739242
97,0x02a3a0fd,44278013
98,0x029cbc14,43826196
99,0x0295fad4,43383508
100,0x028f5c28,42949672
101,0x0288df0c,42524428
102,0x02828282,42107522
103,0x027c4597,41698711
104,0x02762762,41297762
105,0x02702702,40904450
106,0x026a439f,40518559
107,0x02647c69,40139881
108,0x025ed097,39768215
109,0x02593f69,39403369
110,0x0253c825,39045157
111,0x024e6a17,38693399
112,0x02492492,38347922
113,0x0243f6f0,38008560
114,0x023ee08f,37675151
115,0x0239e0d5,37347541
116,0x0234f72c,37025580
117,0x02302302,36709122
118,0x022b63cb,36398027
119,0x0226b902,36092162
120,0x02222222,35791394
121,0x021d9ead,35495597
122,0x02192e29,35204649
123,0x0214d021,34918433
124,0x02108421,34636833
125,0x020c49ba,34359738
126,0x02082082,34087042
127,0x02040810,33818640
128,0x02000000,33554432
