# Lagarith residual-RLE decoder LUT — forward (extraction artefact)
#
# Source binary (x86-64): reference/binaries/system32/lagarith.dll
#   SHA-256: f90f371146ee0b762e4d0c95b336cad2dcff8802953e8667ed0b16389b1dd89c
#   RVA:        0x0001d9a0
#   File offset: 0x0001cda0
# Source binary (i386):  reference/binaries/syswow64/lagarith.dll
#   SHA-256: bac1ea74a9763008f44d3d0f2951ba9a44853e0d72164521a74dc7dd1df20bcc
#   RVA:        0x00030870
#   File offset: 0x0002f270
# Cross-arch byte-equivalence: IDENTICAL
#
# Total entries: 256 (each entry is one little-endian uint32)
# Total bytes:   1024
# Tool: extract-luts.sh (this script) + python3 struct.unpack('<256I', ...)
#
# All 256 dword values are <= 255; the table stores a byte-valued
# function in dword-wide cells (storage is 32 bits but the meaningful
# range is byte-sized). The low byte of each dword forms a 256-byte
# permutation. Upper 24 bits of every entry are zero.
#
# Columns: index, value_hex, value_dec
index,value_hex,value_dec
0,0x00000000,0
1,0x00000002,2
2,0x00000004,4
3,0x00000006,6
4,0x00000008,8
5,0x0000000a,10
6,0x0000000c,12
7,0x0000000e,14
8,0x00000010,16
9,0x00000012,18
10,0x00000014,20
11,0x00000016,22
12,0x00000018,24
13,0x0000001a,26
14,0x0000001c,28
15,0x0000001e,30
16,0x00000020,32
17,0x00000022,34
18,0x00000024,36
19,0x00000026,38
20,0x00000028,40
21,0x0000002a,42
22,0x0000002c,44
23,0x0000002e,46
24,0x00000030,48
25,0x00000032,50
26,0x00000034,52
27,0x00000036,54
28,0x00000038,56
29,0x0000003a,58
30,0x0000003c,60
31,0x0000003e,62
32,0x00000040,64
33,0x00000042,66
34,0x00000044,68
35,0x00000046,70
36,0x00000048,72
37,0x0000004a,74
38,0x0000004c,76
39,0x0000004e,78
40,0x00000050,80
41,0x00000052,82
42,0x00000054,84
43,0x00000056,86
44,0x00000058,88
45,0x0000005a,90
46,0x0000005c,92
47,0x0000005e,94
48,0x00000060,96
49,0x00000062,98
50,0x00000064,100
51,0x00000066,102
52,0x00000068,104
53,0x0000006a,106
54,0x0000006c,108
55,0x0000006e,110
56,0x00000070,112
57,0x00000072,114
58,0x00000074,116
59,0x00000076,118
60,0x00000078,120
61,0x0000007a,122
62,0x0000007c,124
63,0x0000007e,126
64,0x00000080,128
65,0x00000082,130
66,0x00000084,132
67,0x00000086,134
68,0x00000088,136
69,0x0000008a,138
70,0x0000008c,140
71,0x0000008e,142
72,0x00000090,144
73,0x00000092,146
74,0x00000094,148
75,0x00000096,150
76,0x00000098,152
77,0x0000009a,154
78,0x0000009c,156
79,0x0000009e,158
80,0x000000a0,160
81,0x000000a2,162
82,0x000000a4,164
83,0x000000a6,166
84,0x000000a8,168
85,0x000000aa,170
86,0x000000ac,172
87,0x000000ae,174
88,0x000000b0,176
89,0x000000b2,178
90,0x000000b4,180
91,0x000000b6,182
92,0x000000b8,184
93,0x000000ba,186
94,0x000000bc,188
95,0x000000be,190
96,0x000000c0,192
97,0x000000c2,194
98,0x000000c4,196
99,0x000000c6,198
100,0x000000c8,200
101,0x000000ca,202
102,0x000000cc,204
103,0x000000ce,206
104,0x000000d0,208
105,0x000000d2,210
106,0x000000d4,212
107,0x000000d6,214
108,0x000000d8,216
109,0x000000da,218
110,0x000000dc,220
111,0x000000de,222
112,0x000000e0,224
113,0x000000e2,226
114,0x000000e4,228
115,0x000000e6,230
116,0x000000e8,232
117,0x000000ea,234
118,0x000000ec,236
119,0x000000ee,238
120,0x000000f0,240
121,0x000000f2,242
122,0x000000f4,244
123,0x000000f6,246
124,0x000000f8,248
125,0x000000fa,250
126,0x000000fc,252
127,0x000000fe,254
128,0x000000ff,255
129,0x000000fd,253
130,0x000000fb,251
131,0x000000f9,249
132,0x000000f7,247
133,0x000000f5,245
134,0x000000f3,243
135,0x000000f1,241
136,0x000000ef,239
137,0x000000ed,237
138,0x000000eb,235
139,0x000000e9,233
140,0x000000e7,231
141,0x000000e5,229
142,0x000000e3,227
143,0x000000e1,225
144,0x000000df,223
145,0x000000dd,221
146,0x000000db,219
147,0x000000d9,217
148,0x000000d7,215
149,0x000000d5,213
150,0x000000d3,211
151,0x000000d1,209
152,0x000000cf,207
153,0x000000cd,205
154,0x000000cb,203
155,0x000000c9,201
156,0x000000c7,199
157,0x000000c5,197
158,0x000000c3,195
159,0x000000c1,193
160,0x000000bf,191
161,0x000000bd,189
162,0x000000bb,187
163,0x000000b9,185
164,0x000000b7,183
165,0x000000b5,181
166,0x000000b3,179
167,0x000000b1,177
168,0x000000af,175
169,0x000000ad,173
170,0x000000ab,171
171,0x000000a9,169
172,0x000000a7,167
173,0x000000a5,165
174,0x000000a3,163
175,0x000000a1,161
176,0x0000009f,159
177,0x0000009d,157
178,0x0000009b,155
179,0x00000099,153
180,0x00000097,151
181,0x00000095,149
182,0x00000093,147
