# Lagarith residual-RLE encoder INV_LUT (extraction artefact)
#
# Source binary (x86-64): reference/binaries/system32/lagarith.dll
#   SHA-256: f90f371146ee0b762e4d0c95b336cad2dcff8802953e8667ed0b16389b1dd89c
#   RVA:        0x0001b080
#   File offset: 0x0001a480
# Source binary (i386):  reference/binaries/syswow64/lagarith.dll
#   SHA-256: bac1ea74a9763008f44d3d0f2951ba9a44853e0d72164521a74dc7dd1df20bcc
#   RVA:        0x0002df60
#   File offset: 0x0002c960
# Cross-arch byte-equivalence: IDENTICAL
#
# Total entries: 256 (one byte per entry)
# Total bytes:   256
# Tool: extract-luts.sh (this script) + python3 list(...)
#
# Mechanical relation to tables/01-residual-rle-decoder-lut.csv:
#   define t1_perm[i] = low_byte(table1.value_dec[i])  (256-byte perm)
#   define inv_t1[t1_perm[i]] = i                      (its inverse)
#   then for every i in 0..255:
#     value_dec[i] == (0 if i<2 else inv_t1[i-2])
#   relation holds: TRUE
# (Recorded as a reproducibility byte-relation; no semantic claim.)
#
# Columns: index, value_hex, value_dec
index,value_hex,value_dec
0,0x00,0
1,0x00,0
2,0x00,0
3,0xff,255
4,0x01,1
5,0xfe,254
6,0x02,2
7,0xfd,253
8,0x03,3
9,0xfc,252
10,0x04,4
11,0xfb,251
12,0x05,5
13,0xfa,250
14,0x06,6
15,0xf9,249
16,0x07,7
17,0xf8,248
18,0x08,8
19,0xf7,247
20,0x09,9
21,0xf6,246
22,0x0a,10
23,0xf5,245
24,0x0b,11
25,0xf4,244
26,0x0c,12
27,0xf3,243
28,0x0d,13
29,0xf2,242
30,0x0e,14
31,0xf1,241
32,0x0f,15
33,0xf0,240
34,0x10,16
35,0xef,239
36,0x11,17
37,0xee,238
38,0x12,18
39,0xed,237
40,0x13,19
41,0xec,236
42,0x14,20
43,0xeb,235
44,0x15,21
45,0xea,234
46,0x16,22
47,0xe9,233
48,0x17,23
49,0xe8,232
50,0x18,24
51,0xe7,231
52,0x19,25
53,0xe6,230
54,0x1a,26
55,0xe5,229
56,0x1b,27
57,0xe4,228
58,0x1c,28
59,0xe3,227
60,0x1d,29
61,0xe2,226
62,0x1e,30
63,0xe1,225
64,0x1f,31
65,0xe0,224
66,0x20,32
67,0xdf,223
68,0x21,33
69,0xde,222
70,0x22,34
71,0xdd,221
72,0x23,35
73,0xdc,220
74,0x24,36
75,0xdb,219
76,0x25,37
77,0xda,218
78,0x26,38
79,0xd9,217
80,0x27,39
81,0xd8,216
82,0x28,40
83,0xd7,215
84,0x29,41
85,0xd6,214
86,0x2a,42
87,0xd5,213
88,0x2b,43
89,0xd4,212
90,0x2c,44
91,0xd3,211
92,0x2d,45
93,0xd2,210
94,0x2e,46
95,0xd1,209
96,0x2f,47
97,0xd0,208
98,0x30,48
99,0xcf,207
100,0x31,49
101,0xce,206
102,0x32,50
103,0xcd,205
104,0x33,51
105,0xcc,204
106,0x34,52
107,0xcb,203
108,0x35,53
109,0xca,202
110,0x36,54
111,0xc9,201
112,0x37,55
113,0xc8,200
114,0x38,56
115,0xc7,199
116,0x39,57
117,0xc6,198
118,0x3a,58
119,0xc5,197
120,0x3b,59
121,0xc4,196
122,0x3c,60
123,0xc3,195
124,0x3d,61
125,0xc2,194
126,0x3e,62
127,0xc1,193
128,0x3f,63
129,0xc0,192
130,0x40,64
131,0xbf,191
132,0x41,65
133,0xbe,190
134,0x42,66
135,0xbd,189
136,0x43,67
137,0xbc,188
138,0x44,68
139,0xbb,187
140,0x45,69
141,0xba,186
142,0x46,70
143,0xb9,185
144,0x47,71
145,0xb8,184
146,0x48,72
147,0xb7,183
148,0x49,73
149,0xb6,182
150,0x4a,74
151,0xb5,181
152,0x4b,75
153,0xb4,180
154,0x4c,76
155,0xb3,179
156,0x4d,77
157,0xb2,178
158,0x4e,78
159,0xb1,177
160,0x4f,79
161,0xb0,176
162,0x50,80
163,0xaf,175
164,0x51,81
165,0xae,174
166,0x52,82
167,0xad,173
168,0x53,83
169,0xac,172
170,0x54,84
171,0xab,171
172,0x55,85
173,0xaa,170
174,0x56,86
175,0xa9,169
176,0x57,87
177,0xa8,168
178,0x58,88
179,0xa7,167
180,0x59,89
181,0xa6,166
182,0x5a,90
183,0xa5,165
184,0x5b,91
185,0xa4,164
186,0x5c,92
187,0xa3,163
188,0x5d,93
189,0xa2,162
190,0x5e,94
191,0xa1,161
192,0x5f,95
193,0xa0,160
194,0x60,96
195,0x9f,159
196,0x61,97
197,0x9e,158
198,0x62,98
199,0x9d,157
200,0x63,99
201,0x9c,156
202,0x64,100
203,0x9b,155
204,0x65,101
205,0x9a,154
206,0x66,102
207,0x99,153
208,0x67,103
209,0x98,152
210,0x68,104
211,0x97,151
212,0x69,105
213,0x96,150
214,0x6a,106
215,0x95,149
216,0x6b,107
217,0x94,148
218,0x6c,108
219,0x93,147
220,0x6d,109
221,0x92,146
222,0x6e,110
223,0x91,145
224,0x6f,111
225,0x90,144
226,0x70,112
227,0x8f,143
228,0x71,113
229,0x8e,142
230,0x72,114
231,0x8d,141
232,0x73,115
233,0x8c,140
234,0x74,116
235,0x8b,139
236,0x75,117
237,0x8a,138
238,0x76,118
239,0x89,137
240,0x77,119
241,0x88,136
242,0x78,120
243,0x87,135
244,0x79,121
245,0x86,134
246,0x7a,122
247,0x85,133
248,0x7b,123
249,0x84,132
250,0x7c,124
251,0x83,131
252,0x7d,125
253,0x82,130
254,0x7e,126
255,0x81,129
